"","Detail","Price","Mileage"
"379","2018 Porsche 911 Carrera S","$127,995","16,732 mi."
"380","2020 Porsche 911 Carrera 4S","$155,995","16,400 mi."
"381","2019 Porsche Panamera GTS","$125,995","6,969 mi."
"382","2021 Porsche Panamera GTS","$145,995","2,743 mi."
"383","2021 Porsche Panamera 4S","$106,709","15,704 mi."
"384","2019 Porsche 911 Carrera 4 GTS","$149,900","6,717 mi."
"385","2019 Porsche 911 Speedster","$394,900","3,096 mi."
"386","2018 Porsche 911 Carrera 4S","$112,839","19,143 mi."
"387","2013 Porsche 911 Carrera 4","$68,782","61,384 mi."
"388","2014 Porsche 911 Carrera 4","$74,990","36,567 mi."
"389","2006 Porsche Cayman S","$28,900","82,890 mi."
"390","2001 Porsche Boxster ","$13,279","102,502 mi."
"391","2006 Porsche Cayman S","$42,000","15,462 mi."
"392","2017 Porsche Macan S","$42,998","31,906 mi."
"393","2017 Porsche Macan S","$46,998","23,679 mi."
"394","2018 Porsche Macan ","$39,887","46,776 mi."
"395","2020 Porsche Taycan 4S","$122,558","6,682 mi."
"396","2012 Porsche 911 Carrera S","$68,900","54,977 mi."
"397","2013 Porsche 911 Carrera S","$84,400","29,991 mi."
"398","2005 Porsche 911 Carrera","$46,997","62,435 mi."
"399","2016 Porsche Cayenne S","$32,995","81,018 mi."
"400","2004 Porsche 911 Carrera 4S","$47,500","53,141 mi."
"401","2017 Porsche Macan Base","$31,038","69,048 mi."
"402","2018 Porsche 911 GT3","$170,995","23,592 mi."
"403","2014 Porsche 911 Turbo S","$146,900","22,447 mi."
"404","2013 Porsche Cayenne Base (Tiptronic)","$31,900","61,945 mi."
"405","2016 Porsche Cayenne Base","$35,590","57,780 mi."
"406","2005 Porsche 911 GT3","$169,900","11,009 mi."
"407","2019 Porsche 911 GT2 RS Clubsport","$439,900","2,517 mi."
"408","2020 Porsche 911 Carrera S","$145,900","8,117 mi."
"409","2011 Porsche 911 GT2 RS","$759,900","2,206 mi."
"410","2011 Porsche 911 GT3 RS","$369,900","12,103 mi."
"411","2021 Porsche Cayenne Turbo S E-Hybrid","$174,900","5,372 mi."
"412","2022 Porsche Panamera Turbo S","$188,702","6,237 mi."
"413","2019 Porsche 911 Turbo S","$239,995","2,205 mi."
"414","2016 Porsche 911 GT3 RS","Not Priced","500 mi."
"415","2011 Porsche 911 GT3 RS 4.0","$749,995","6,181 mi."
"416","2018 Porsche 911 GT3","$184,995","12,008 mi."
"417","2015 Porsche Cayenne S","$29,499","99,017 mi."
"418","2018 Porsche Macan Sport Edition","$41,542","32,456 mi."
"419","2020 Porsche Macan S","$63,999","33,000 mi."
"420","2020 Porsche 911 Carrera 4S","$155,000","18,500 mi."
"421","2016 Porsche Cayenne Base","$34,291","54,371 mi."
"422","2016 Porsche Panamera Turbo","$69,990","28,525 mi."
"423","2016 Porsche Cayenne GTS","$39,995","87,630 mi."
"424","2017 Porsche 911 Carrera S","$118,782","15,862 mi."
"425","2021 Porsche 911 Carrera","$149,990","4,622 mi."
"426","2020 Porsche 911 Carrera 4S","$143,749","21,771 mi."
"427","2011 Porsche 911 Carrera GTS","$88,799","44,588 mi."
