"","Detail","Price","Mileage"
"280","2017 Audi S3 2.0T Premium Plus","$33,945","78,432 mi."
"281","2012 Audi A8 L 4.2 quattro","$21,947","83,358 mi."
"282","2019 Audi SQ5 3.0T Premium","$45,994","34,926 mi."
"283","2016 Audi SQ5 3.0T Premium Plus","$29,995","73,349 mi."
"284","2017 Audi A7 3.0T Premium Plus","$27,995","100,892 mi."
"285","2021 Audi A8 L 55","$67,920","22,411 mi."
"286","2019 Audi A8 L 60","$63,987","24,544 mi."
"287","2017 Audi Q3 2.0T Premium Plus","$27,910","43,920 mi."
"288","2018 Audi Q3 ","$28,789","35,379 mi."
"289","2019 Audi RS 3 2.5T","$56,900","24,326 mi."
"290","2021 Audi Q8 55 Premium","$70,866","2,485 mi."
"291","2022 Audi A7 3.0T Prestige","$75,750","7,810 mi."
"292","2021 Audi RS 6 Avant 4.0T quattro","$129,899","7,455 mi."
"293","2018 Audi Q5 2.0T Tech Premium","$31,996","38,600 mi."
"294","2014 Audi S5 3.0T Premium Plus quattro","$27,500","61,366 mi."
"295","2018 Audi RS 5 2.9T","$57,290","38,950 mi."
"296","2013 Audi A7 3.0T Prestige quattro","$30,950","68,225 mi."
"297","2021 Audi A8 L 60","$81,999","6,705 mi."
"298","2022 Audi RS 7 4.0T quattro","$134,599","603 mi."
"299","2008 Audi A8 ","$9,999","117,627 mi."
"300","2022 Audi Q3 45 S line Premium","$44,569","7,175 mi."
"301","2012 Audi A8 L 4.2 quattro","$24,450","65,888 mi."
"302","2019 Audi S5 3.0T Prestige","$47,988","53,389 mi."
"303","2020 Audi R8 5.2 V10 performance","$220,000","4,779 mi."
"304","2019 Audi A3 2.0T Premium","$30,284","31,943 mi."
"305","2017 Audi A7 3.0T Premium Plus","$25,795","131,849 mi."
"306","2016 Audi A6 2.0T Premium Plus","$25,990","53,383 mi."
"307","2018 Audi A7 3.0T Prestige","$35,526","74,967 mi."
"308","2021 Audi Q8 55 Premium","$68,700","32,736 mi."
"309","2020 Audi A7 55 Premium","$57,995","33,524 mi."
"310","2022 Audi Q7 45 Premium Plus","$59,400","17,451 mi."
"311","2021 Audi A6 55 Premium Plus","$52,995","10,835 mi."
"312","2016 Audi A7 3.0T Premium Plus","$28,499","98,700 mi."
"313","2022 Audi A5 2.0T Premium","$47,500","3,905 mi."
"314","2018 Audi RS 5 2.9T","$59,991","29,974 mi."
"315","2019 Audi A3 2.0T Premium","$25,995","55,423 mi."
"316","2018 Audi SQ5 3.0T Premium Plus","$34,000","71,481 mi."
"317","2019 Audi A6 3.0T Premium Plus","$39,977","34,669 mi."
"318","2021 Audi Q7 55 Prestige","$61,000","29,053 mi."
"319","2018 Audi A3 2.0T Premium","$15,577","119,563 mi."
"320","2021 Audi Q7 55 Premium Plus","$64,991","9,925 mi."
"321","2017 Audi TT 2.0T","$37,477","15,540 mi."
"322","2020 Audi A4 allroad 2.0T Premium","$42,500","24,858 mi."
"323","2016 Audi Q5 3.0T Premium Plus","$20,500","98,335 mi."
"324","2010 Audi A5 2.0T Premium","$13,991","86,035 mi."
"325","2020 Audi A7 3.0T Premium Plus","$63,000","16,713 mi."
"326","2021 Audi A6 45 Sport Premium","$47,195","21,478 mi."
"327","2019 Audi Q7 55 Premium Plus","$46,795","26,056 mi."
"328","2019 Audi Q7 55 Premium Plus","$38,900","58,835 mi."
"329","2003 Audi TT 1.8L (A6)","$8,888","127,582 mi."
"330","2021 Audi RS 6 Avant 4.0T quattro","$128,777","9,778 mi."
"331","2016 Audi A6 3.0T Premium Plus","$22,855","89,196 mi."
"332","2012 Audi S4 3.0 Prestige","$17,855","89,364 mi."
"333","2012 Audi A6 3.0T Prestige quattro","$9,985","160,233 mi."
"334","2021 Audi SQ5 3.0T Premium","$48,777","7,571 mi."
"335","2019 Audi A6 55 Premium","$37,500","32,428 mi."
"336","2021 Audi A5 2.0T Premium Plus","$45,505","15,746 mi."
"337","2021 Audi S6 2.9T Premium Plus","$69,477","24,783 mi."
"338","2015 Audi A8 L 3.0T","$25,395","96,278 mi."
"339","2021 Audi RS 6 Avant 4.0T quattro","$133,995","13,557 mi."
"340","2014 Audi SQ5 3.0T Premium Plus","$21,990","95,335 mi."
"341","2019 Audi A6 55 Premium Plus","$43,891","32,099 mi."
"342","2017 Audi A7 3.0T Prestige","$27,895","125,691 mi."
"343","2019 Audi SQ5 3.0T Premium","$41,495","29,206 mi."
"344","2022 Audi RS 6 Avant 4.0T quattro","$138,645","4,889 mi."
"345","2007 Audi A3 S-Line","$7,999","153,434 mi."
"346","2022 Audi Q5 45 S line quattro Premium","$46,995","1,483 mi."
"347","2020 Audi S4 3.0T Premium","$51,444","8,751 mi."
"348","2020 Audi A5 2.0T Premium","$33,000","46,385 mi."
"349","2020 Audi Q5 45 Premium","$37,422","20,002 mi."
"350","2018 Audi SQ5 3.0T Premium Plus","$46,950","68,387 mi."
"351","2019 Audi Q7 55 Premium Plus","$44,888","29,747 mi."
"352","2018 Audi A3 2.0T Premium","$26,440","66,216 mi."
"353","2018 Audi TT 2.0T","$40,888","34,742 mi."
"354","2019 Audi Q7 55 Premium Plus","$41,885","34,170 mi."
"355","2021 Audi A5 2.0T Premium Plus","$45,555","20,904 mi."
"356","2021 Audi A5 2.0T Premium","$48,880","8,356 mi."
"357","2020 Audi S8 4.0T quattro","$87,254","17,286 mi."
"358","2018 Audi S4 3.0T Premium Plus","$40,993","16,399 mi."
"359","2021 Audi A5 2.0T Premium Plus","$42,994","19,822 mi."
"360","2021 Audi Q8 55 Premium","$74,495","34,311 mi."
"361","2021 Audi Q7 55 Premium","$56,994","16,339 mi."
"362","2021 Audi RS 7 4.0T quattro","$119,991","10,034 mi."
"363","2021 Audi Q7 55 Premium","$59,995","6,343 mi."
"364","2020 Audi Q7 55 Prestige","$62,993","19,988 mi."
"365","2014 Audi Q5 2.0T Premium","$15,500","117,474 mi."
"366","2019 Audi Q7 55 Prestige","$48,998","16,501 mi."
"367","2021 Audi Q7 55 Premium Plus","$51,995","36,845 mi."
"368","2019 Audi A6 Premium Plus","$39,429","35,922 mi."
"369","2014 Audi S8 4.0T quattro","$29,999","103,517 mi."
"370","2017 Audi A4 2.0T Premium Plus","$23,990","76,154 mi."
"371","2022 Audi S4 3.0T Premium Plus","$57,970","5,669 mi."
"372","2019 Audi Q5 2.0T Premium Plus","$36,490","18,248 mi."
"373","2018 Audi S4 3.0T Prestige","$38,995","48,991 mi."
"374","2012 Audi R8 5.2 quattro","$109,996","16,061 mi."
"375","2017 Audi S6 4.0T Premium Plus","$89,995","9,422 mi."
"376","2015 Audi R8 5.2","$134,885","11,223 mi."
"377","2015 Audi Q5 3.0 TDI Premium Plus","$23,697","68,891 mi."
"378","2017 Audi Q5 2.0T Premium Plus","$22,026","100,235 mi."
"379","2015 Audi Q5 2.0T Premium","$21,795","69,209 mi."
"380","2016 Audi A6 3.0T Premium Plus","$21,895","98,490 mi."
"381","2014 Audi Q7 3.0T S line Prestige","$23,700","72,867 mi."
"382","2013 Audi A4 2.0T Premium Plus quattro","$17,950","75,309 mi."
"383","2018 Audi RS 5 2.9T","$54,800","75,387 mi."
"384","2020 Audi A6 55 Premium Plus","$42,995","19,924 mi."
"385","2021 Audi Q5 45 Premium","$40,999","16,257 mi."
"386","2018 Audi A6 3.0T Premium Plus","$30,995","54,786 mi."
"387","2017 Audi R8 5.2 quattro Plus","$179,736","5,826 mi."
"388","2014 Audi R8 4.2 Spyder quattro","$104,000","13,584 mi."
"389","2013 Audi A6 3.0T Prestige quattro","$18,950","92,375 mi."
"390","2022 Audi SQ7 4.0T","$92,796","5,124 mi."
"391","2018 Audi Q7 2.0T Premium Plus","$34,392","55,933 mi."
"392","2017 Audi A6 3.0T Premium Plus","$26,592","82,371 mi."
"393","2021 Audi Q7 55 Prestige","$63,693","35,891 mi."
"394","2021 Audi Q7 55 Premium","$69,500","15,242 mi."
"395","2019 Audi RS 3 2.5T","$59,982","22,768 mi."
"396","2017 Audi TTS 2.0T quattro","$34,839","60,132 mi."
"397","2013 Audi A6 3.0T Prestige","$22,475","153,973 mi."
"398","2019 Audi A6 3.0T Premium Plus","$43,915","20,455 mi."
"399","2019 Audi A7 3.0T Premium Plus","$47,999","48,558 mi."
"400","2019 Audi A7 3.0T Prestige","$51,719","39,200 mi."
"401","2019 Audi S5 3.0T Premium Plus","$39,999","61,422 mi."
"402","2019 Audi A4 2.0T Premium Plus","$33,992","26,880 mi."
"403","2018 Audi A6 3.0T Premium Plus","$29,986","78,342 mi."
"404","2018 Audi A6 2.0T Premium quattro","$29,568","36,990 mi."
"405","2021 Audi Q7 45 Premium","$50,988","15,436 mi."
"406","2019 Audi e-tron quattro Premium Plus","$63,590","15,825 mi."
